Row,min_med_conn_run,sec_med_conn_run,min_med_conn,sec_med_conn
sub01610,4,3,0.404,0.409
sub01612,2,NaN,0.506,NaN
sub01616,NaN,NaN,NaN,NaN
sub01617,1,NaN,0.487,NaN
sub01618,1,NaN,0.422,NaN
sub01622,1,4,0.406,0.421
sub01625,2,NaN,0.405,NaN
sub01626,2,1,0.472,0.488
sub01628,1,2,0.445,0.472
sub01630,4,2,0.477,0.484
sub01632,3,NaN,0.488,NaN
sub01634,3,1,0.461,0.468
sub01635,1,2,0.412,0.427
sub01636,1,3,0.416,0.429
sub01637,3,NaN,0.483,NaN
sub01642,1,2,0.424,0.431
sub01643,2,NaN,0.405,NaN
sub01645,3,1,0.416,0.428
sub01646,1,NaN,0.475,NaN
sub01648,1,3,0.398,0.399
sub01649,2,1,0.422,0.441
sub01650,NaN,NaN,NaN,NaN
sub01651,1,2,0.434,0.481
sub01652,1,NaN,0.536,NaN
sub01653,1,2,0.456,0.486
sub01654,2,3,0.421,0.442
sub01657,1,2,0.432,0.467
sub01658,4,1,0.404,0.417
sub01659,2,3,0.459,0.497
sub01660,1,2,0.428,0.44
sub01670,1,2,0.434,0.44
sub01674,1,2,0.437,0.467
sub01675,2,NaN,0.445,NaN
sub01681,2,1,0.505,0.517
sub01685,1,2,0.431,0.445
sub01689,2,NaN,0.496,NaN
sub01694,3,4,0.433,0.436
sub01695,1,2,0.426,0.438
sub01696,1,NaN,0.442,NaN
sub01697,3,1,0.439,0.457
sub01702,1,NaN,0.469,NaN
sub01710,1,NaN,0.463,NaN
sub01712,1,NaN,0.434,NaN
sub01715,4,3,0.509,0.529
sub01720,2,1,0.41,0.416
sub01721,1,3,0.467,0.478
sub01722,4,2,0.429,0.451
sub01724,4,NaN,0.424,NaN
sub01727,1,2,0.442,0.463
sub01728,2,1,0.414,0.426
sub01729,2,1,0.433,0.443
sub01734,2,1,0.442,0.448
sub01737,2,1,0.425,0.442
sub01738,1,NaN,0.446,NaN
sub01739,1,NaN,0.399,NaN
sub01741,3,1,0.428,0.442
sub01743,3,1,0.458,0.474
sub01750,4,3,0.401,0.404
sub01753,4,NaN,0.491,NaN
sub01754,4,2,0.428,0.441
sub01756,3,NaN,0.475,NaN
sub01757,3,2,0.412,0.415
sub01759,3,4,0.414,0.437
sub01761,3,2,0.414,0.509
sub01763,3,2,0.476,0.485
sub01766,1,3,0.421,0.434
sub01768,NaN,NaN,NaN,NaN
sub01770,1,NaN,0.506,NaN
sub01772,2,1,0.406,0.427
sub01773,2,3,0.436,0.445
sub01775,2,1,0.409,0.42
sub01778,1,2,0.446,0.46
sub01779,1,NaN,0.492,NaN
sub01785,3,4,0.418,0.427
sub01786,2,NaN,0.48,NaN
sub01788,1,2,0.41,0.411
sub01789,2,3,0.416,0.421
sub01792,4,3,0.422,0.428
sub01793,1,3,0.446,0.501
sub01796,1,4,0.408,0.413
sub01803,NaN,NaN,NaN,NaN
sub01804,3,1,0.462,0.476
sub01805,2,1,0.454,0.474
sub01808,1,NaN,0.416,NaN
sub01809,1,NaN,0.419,NaN
sub01810,2,3,0.471,0.49
sub01811,NaN,NaN,NaN,NaN
sub01813,2,4,0.405,0.407
sub01815,2,1,0.431,0.519
sub01816,1,2,0.409,0.425
sub01821,1,3,0.422,0.424
sub01822,3,1,0.416,0.439
sub01823,2,1,0.448,0.449
sub01824,4,2,0.422,0.429
sub01826,1,NaN,0.496,NaN
sub01831,3,NaN,0.528,NaN
sub01833,4,1,0.466,0.507
sub01835,4,1,0.41,0.428
sub01837,NaN,NaN,NaN,NaN
sub01838,1,2,0.462,0.485
sub01839,1,2,0.455,0.499
sub01840,1,3,0.426,0.432
sub01841,4,1,0.425,0.427
sub01844,4,NaN,0.524,NaN
sub01848,4,1,0.435,0.438
sub01849,2,3,0.463,0.529
sub01851,2,NaN,0.479,NaN
sub01853,2,1,0.418,0.419
sub01854,1,2,0.424,0.501
sub01855,3,4,0.408,0.42
sub01856,2,1,0.42,0.433
sub01858,1,2,0.43,0.464
sub01859,NaN,NaN,NaN,NaN
sub01860,2,1,0.406,0.415
sub01861,3,2,0.425,0.429
sub01864,1,2,0.419,0.532
sub01865,NaN,NaN,NaN,NaN
sub01871,3,2,0.425,0.431
sub01873,4,1,0.426,0.433
sub01874,3,2,0.416,0.428
sub01876,2,3,0.434,0.439
sub01884,3,1,0.438,0.467
sub01885,2,NaN,0.412,NaN
sub01887,NaN,NaN,NaN,NaN
sub01889,2,1,0.481,0.511
sub01892,2,1,0.397,0.41
sub01893,1,NaN,0.409,NaN
sub01901,1,2,0.406,0.416
sub01902,2,NaN,0.445,NaN
sub01903,2,NaN,0.483,NaN
sub01905,2,1,0.404,0.407
sub01908,NaN,NaN,NaN,NaN
sub01909,4,2,0.405,0.413
sub01911,1,4,0.435,0.442
sub01912,2,NaN,0.528,NaN
sub01916,3,1,0.457,0.49
sub01918,2,1,0.421,0.434
sub01920,2,NaN,0.472,NaN
sub01921,2,1,0.456,0.468
sub01922,3,1,0.438,0.474
sub01927,4,NaN,0.487,NaN
sub01931,1,2,0.405,0.407
sub01932,1,2,0.449,0.475
sub01934,2,1,0.431,0.452
sub01936,4,2,0.437,0.466
sub01937,3,NaN,0.477,NaN
sub01938,2,1,0.447,0.466
sub01939,3,4,0.403,0.408
sub01945,1,2,0.424,0.455
sub01946,1,NaN,0.422,NaN
sub01950,2,NaN,0.495,NaN
sub01951,2,3,0.407,0.409
sub01952,4,1,0.448,0.454
sub01954,1,4,0.411,0.439
sub01955,2,3,0.471,0.505
sub01956,3,1,0.396,0.409
sub01957,NaN,NaN,NaN,NaN
sub01958,2,4,0.403,0.432
sub01960,1,3,0.429,0.431
sub01962,3,2,0.426,0.465
sub01963,3,2,0.403,0.44
sub01966,1,NaN,0.409,NaN
sub01969,2,1,0.415,0.421
sub01970,2,1,0.447,0.52
sub01972,3,4,0.421,0.423
sub01975,2,1,0.408,0.412
sub01976,4,NaN,0.499,NaN
sub01977,1,2,0.455,0.463
sub01978,2,1,0.435,0.44
sub01979,1,2,0.399,0.399
sub01980,4,3,0.443,0.489
sub01982,1,NaN,0.506,NaN
sub01986,1,2,0.429,0.442
sub01987,2,NaN,0.432,NaN
sub01988,NaN,NaN,NaN,NaN
sub01990,3,NaN,0.419,NaN
sub01991,2,1,0.429,0.441
sub01994,2,4,0.403,0.443
sub01995,2,4,0.424,0.426
sub01997,2,3,0.415,0.426
sub01998,4,NaN,0.453,NaN
sub02001,1,2,0.411,0.418
sub02007,2,1,0.42,0.44
sub02009,1,NaN,0.406,NaN
sub02010,1,4,0.41,0.429
sub02012,1,2,0.411,0.424
sub02015,2,1,0.447,0.484
sub02017,1,2,0.415,0.418
sub02018,1,3,0.413,0.415
sub02019,1,2,0.454,0.475
sub02021,1,2,0.475,0.485
sub02024,1,3,0.42,0.492
sub02025,2,NaN,0.46,NaN
sub02026,1,NaN,0.411,NaN
sub02029,2,1,0.423,0.44
sub02032,1,NaN,0.431,NaN
sub02034,1,3,0.41,0.412
sub02035,2,NaN,0.425,NaN
sub02039,1,4,0.427,0.441
sub02042,1,2,0.445,0.446
sub02043,1,2,0.406,0.416
sub02045,1,NaN,0.414,NaN
sub02048,1,NaN,0.49,NaN
sub02049,4,3,0.403,0.407
sub02050,1,4,0.402,0.406
sub02051,2,1,0.414,0.443
sub02057,4,1,0.433,0.461
sub02058,NaN,NaN,NaN,NaN
sub02059,NaN,NaN,NaN,NaN
sub02061,1,NaN,0.463,NaN
sub02062,2,NaN,0.452,NaN
sub02065,2,1,0.437,0.456
sub02067,1,NaN,0.488,NaN
sub02068,3,4,0.405,0.406
sub02069,1,2,0.399,0.406
sub02071,1,2,0.404,0.448
sub02074,3,1,0.401,0.413
sub02075,4,3,0.405,0.406
sub02081,1,NaN,0.515,NaN
sub02084,1,NaN,0.536,NaN
sub02085,1,NaN,0.495,NaN
sub02086,3,2,0.485,0.516
sub02087,2,1,0.517,0.535
sub02088,NaN,NaN,NaN,NaN
sub02090,2,1,0.437,0.448
sub02091,4,1,0.404,0.427
sub02093,3,2,0.405,0.406
sub02094,1,NaN,0.495,NaN
sub02096,3,2,0.408,0.41
sub02100,2,1,0.487,0.505
sub02101,3,1,0.434,0.441
sub02102,2,1,0.45,0.464
sub02103,1,2,0.479,0.52
sub02106,1,2,0.47,0.495
sub02107,NaN,NaN,NaN,NaN
sub02108,2,1,0.423,0.428
sub02109,2,1,0.477,0.504
sub02110,4,NaN,0.529,NaN
sub02111,2,1,0.401,0.427
sub02112,3,4,0.418,0.422
sub02113,1,3,0.42,0.44
sub02119,1,2,0.483,0.488
sub02121,2,1,0.411,0.423
sub02123,NaN,NaN,NaN,NaN
sub02124,4,2,0.419,0.435
sub02129,4,2,0.408,0.461
sub02130,NaN,NaN,NaN,NaN
sub02131,1,2,0.431,0.457
sub02133,2,NaN,0.416,NaN
sub02134,1,NaN,0.523,NaN
sub02135,2,3,0.445,0.526
sub02136,3,4,0.396,0.398
sub02137,4,NaN,0.451,NaN
sub02138,1,2,0.429,0.45
sub02140,2,3,0.413,0.417
sub02143,1,3,0.408,0.415
sub02147,1,3,0.399,0.411
sub02152,NaN,NaN,NaN,NaN
sub02153,4,2,0.446,0.459
sub02155,1,3,0.407,0.427
sub02158,1,2,0.465,0.5
sub02161,1,NaN,0.504,NaN
sub02162,2,3,0.412,0.424
sub02164,1,NaN,0.453,NaN
sub02167,3,2,0.409,0.441
sub02169,2,1,0.409,0.448
sub02170,1,2,0.425,0.469
sub02174,2,NaN,0.497,NaN
sub02175,4,1,0.425,0.487
sub02176,2,1,0.432,0.439
sub02182,1,2,0.433,0.453
sub02184,3,NaN,0.517,NaN
sub02188,1,4,0.43,0.43
sub02189,4,2,0.399,0.405
sub02190,1,NaN,0.442,NaN
sub02191,2,NaN,0.458,NaN
sub02193,4,1,0.517,0.522
sub02196,3,2,0.42,0.461
sub02199,1,3,0.485,0.494
sub02201,1,NaN,0.518,NaN
sub02202,2,1,0.423,0.441
sub02203,NaN,NaN,NaN,NaN
sub02204,4,2,0.411,0.414
sub02205,1,NaN,0.514,NaN
sub02207,1,2,0.411,0.432
sub02208,3,1,0.415,0.427
sub02211,2,3,0.407,0.445
sub02214,1,NaN,0.484,NaN
sub02215,2,1,0.426,0.427
sub02217,2,3,0.433,0.456
sub02218,1,NaN,0.519,NaN
sub02220,2,1,0.454,0.474
sub02221,1,4,0.447,0.456
sub02222,2,1,0.425,0.426
sub02228,1,3,0.431,0.459
sub02230,NaN,NaN,NaN,NaN
sub02235,1,3,0.422,0.467
sub02237,1,4,0.406,0.437
sub02239,4,NaN,0.439,NaN
sub02244,2,1,0.468,0.469
sub02247,2,NaN,0.44,NaN
sub02248,1,NaN,0.496,NaN
sub02249,1,NaN,0.483,NaN
sub02250,4,NaN,0.542,NaN
sub02254,1,NaN,0.405,NaN
sub02256,2,1,0.46,0.464
sub02257,2,1,0.393,0.402
sub02258,3,1,0.415,0.428
sub02259,1,NaN,0.459,NaN
sub02263,1,2,0.426,0.473
sub02264,1,2,0.437,0.448
sub02268,2,1,0.413,0.423
sub02271,1,NaN,0.454,NaN
sub02273,2,1,0.422,0.441
sub02276,NaN,NaN,NaN,NaN
sub02279,3,4,0.486,0.5235
sub02280,2,1,0.404,0.409
sub02282,1,NaN,0.484,NaN
sub02290,2,3,0.425,0.437
sub02294,NaN,NaN,NaN,NaN
sub02295,1,NaN,0.462,NaN
sub02296,1,2,0.442,0.454
sub02298,1,NaN,0.453,NaN
sub02301,2,NaN,0.435,NaN
sub02302,1,2,0.43,0.435
sub02303,2,NaN,0.416,NaN
sub02304,2,3,0.418,0.468
sub02306,2,1,0.419,0.441
sub02307,NaN,NaN,NaN,NaN
sub02308,2,4,0.419,0.421
sub02311,1,2,0.457,0.487
sub02313,1,NaN,0.409,NaN
sub02318,2,NaN,0.478,NaN
sub02320,1,2,0.429,0.447
sub02321,3,4,0.475,0.481
sub02322,1,4,0.42,0.428
sub02323,2,NaN,0.442,NaN
sub02324,1,NaN,0.429,NaN
sub02325,2,1,0.442,0.478
sub02327,1,NaN,0.426,NaN
sub02328,2,NaN,0.464,NaN
sub02329,3,4,0.419,0.447
sub02331,4,3,0.446,0.447
sub02332,1,2,0.426,0.452
sub02334,1,3,0.451,0.501
sub02335,3,2,0.422,0.43
sub02336,3,4,0.48,0.481
sub02339,2,NaN,0.435,NaN
sub02341,4,3,0.428,0.43
sub02342,3,2,0.455,0.473
sub02344,2,3,0.429,0.463
sub02347,1,2,0.443,0.472
sub02348,2,1,0.437,0.442
sub02349,3,4,0.426,0.427
sub02351,2,3,0.488,0.492
sub02353,3,1,0.433,0.463
sub02355,3,2,0.415,0.418
sub02357,1,NaN,0.458,NaN
sub02366,2,1,0.432,0.511
sub02368,2,3,0.413,0.431
sub02378,1,2,0.412,0.419
sub02379,3,NaN,0.432,NaN
sub02381,3,NaN,0.438,NaN
sub02382,2,NaN,0.428,NaN
sub02383,1,NaN,0.436,NaN
sub02387,1,2,0.42,0.469
sub02389,2,3,0.449,0.516
sub02394,2,4,0.427,0.434
sub02395,1,NaN,0.447,NaN
sub02396,4,NaN,0.426,NaN
sub02398,1,2,0.421,0.423
sub02399,1,NaN,0.428,NaN
sub02402,4,2,0.444,0.448
sub02403,2,1,0.427,0.429
sub02405,NaN,NaN,NaN,NaN
sub02409,1,2,0.428,0.451
sub02410,2,1,0.418,0.436
sub02411,2,1,0.439,0.463
sub02412,3,1,0.428,0.443
sub02413,1,2,0.412,0.417
sub02414,2,1,0.442,0.445
sub02417,1,2,0.503,0.511
sub02418,4,3,0.425,0.494
sub02421,4,NaN,0.404,NaN
sub02425,1,4,0.437,0.503
sub02433,2,3,0.419,0.467
sub02437,1,2,0.414,0.421
sub02440,2,3,0.433,0.44
sub02441,4,1,0.44,0.47
sub02443,3,2,0.406,0.426
sub02448,2,NaN,0.517,NaN
sub02451,2,1,0.456,0.483
sub02452,1,3,0.445,0.49
sub02454,1,2,0.407,0.41
sub02455,2,NaN,0.445,NaN
sub02456,2,4,0.415,0.418
sub02459,1,NaN,0.461,NaN
sub02460,1,2,0.417,0.425
sub02461,4,3,0.408,0.436
sub02466,1,2,0.446,0.46
sub02467,1,2,0.421,0.434
sub02473,1,2,0.426,0.428
sub02474,3,1,0.467,0.475
sub02475,1,2,0.409,0.451
sub02485,3,NaN,0.415,NaN
sub02488,2,NaN,0.419,NaN
sub02490,1,NaN,0.477,NaN
sub02493,1,2,0.406,0.52
sub02495,1,4,0.423,0.423
sub02496,1,NaN,0.43,NaN
sub02497,1,2,0.412,0.428
sub02503,2,4,0.407,0.41
sub02504,2,1,0.411,0.435
sub02506,1,4,0.443,0.462
sub02508,1,4,0.417,0.421
sub02509,3,2,0.437,0.451
sub02511,4,1,0.432,0.451
sub02512,4,1,0.437,0.469
sub02515,2,4,0.449,0.477
sub02518,3,2,0.406,0.412
sub02520,1,2,0.423,0.43
sub02525,2,NaN,0.521,NaN
sub02526,4,1,0.425,0.446
sub02527,4,2,0.414,0.419
sub02529,1,NaN,0.409,NaN
sub02530,1,NaN,0.424,NaN
sub02532,2,4,0.434,0.445
sub02534,3,1,0.413,0.425
sub02535,2,NaN,0.46,NaN
sub02536,2,NaN,0.518,NaN
sub02537,1,2,0.469,0.498
sub02538,3,NaN,0.407,NaN
sub02539,1,3,0.429,0.438
sub02540,2,NaN,0.424,NaN
sub02542,1,NaN,0.48,NaN
sub02543,2,1,0.409,0.42
sub02545,3,2,0.422,0.517
sub02547,1,2,0.406,0.424
sub02551,1,2,0.456,0.488
sub02554,4,3,0.409,0.42
sub02555,1,2,0.434,0.456
sub02557,1,NaN,0.469,NaN
sub02558,3,2,0.479,0.48
sub02559,2,NaN,0.433,NaN
sub02563,1,2,0.424,0.428
sub02564,2,1,0.43,0.443
sub02566,1,2,0.425,0.426
sub02567,3,NaN,0.481,NaN
sub02569,2,1,0.42,0.429
sub02571,2,4,0.423,0.432
sub02572,1,NaN,0.49,NaN
sub02576,1,4,0.408,0.489
sub02579,4,1,0.408,0.432
sub02581,4,1,0.43,0.444
sub02583,1,NaN,0.437,NaN
sub02586,1,2,0.422,0.422
sub02588,1,2,0.415,0.44
sub02590,2,1,0.42,0.451
sub02592,2,NaN,0.435,NaN
sub02593,4,3,0.497,0.509
sub02594,4,3,0.4,0.413
sub02596,2,1,0.42,0.428
sub02597,1,2,0.475,0.532
sub02601,2,1,0.42,0.461
sub02602,1,NaN,0.506,NaN
sub02603,1,3,0.411,0.421
sub02606,2,1,0.454,0.464
sub02611,4,1,0.518,0.526
sub02612,3,2,0.452,0.455
sub02613,2,3,0.434,0.439
sub02614,1,2,0.41,0.415
sub02618,1,NaN,0.451,NaN
sub02622,3,1,0.417,0.423
sub02624,4,3,0.402,0.424
sub02628,2,1,0.426,0.433
sub02632,1,NaN,0.457,NaN
sub02633,1,NaN,0.448,NaN
sub02635,1,2,0.478,0.503
sub02636,2,1,0.424,0.427
sub02637,1,2,0.44,0.482
sub02638,1,2,0.423,0.432
sub02642,1,3,0.418,0.447
sub02643,1,NaN,0.468,NaN
sub02644,1,2,0.442,0.443
sub02647,1,NaN,0.466,NaN
sub02650,4,2,0.412,0.415
sub02651,1,NaN,0.434,NaN
sub02654,3,4,0.426,0.427
sub02657,2,1,0.399,0.408
sub02660,NaN,NaN,NaN,NaN
sub02661,2,1,0.426,0.507
sub02663,2,1,0.4,0.406
sub02666,1,2,0.421,0.452
sub02669,3,2,0.404,0.421
sub02673,1,2,0.421,0.435
sub02674,2,NaN,0.491,NaN
sub02675,3,1,0.456,0.48
sub02676,3,1,0.429,0.438
sub02677,3,NaN,0.507,NaN
sub02680,1,2,0.449,0.467
sub02681,2,NaN,0.441,NaN
sub02683,3,2,0.439,0.453
sub02684,3,2,0.411,0.439
sub02686,1,NaN,0.488,NaN
sub02687,1,4,0.412,0.427
sub02689,2,1,0.438,0.478
sub02690,3,NaN,0.41,NaN
sub02691,1,NaN,0.469,NaN
sub02692,2,4,0.471,0.485
sub02694,2,1,0.409,0.422
sub02695,4,2,0.406,0.436
sub02699,NaN,NaN,NaN,NaN
sub02700,2,3,0.438,0.444
sub02701,2,1,0.405,0.431
sub02702,2,NaN,0.512,NaN
sub02704,2,1,0.415,0.431
sub02706,1,3,0.409,0.419
sub02707,1,NaN,0.445,NaN
sub02708,2,1,0.456,0.492
sub02711,2,1,0.47,0.477
sub02714,NaN,NaN,NaN,NaN
sub02715,1,2,0.417,0.436
sub02716,1,2,0.415,0.418
sub02717,1,3,0.488,0.515
sub02722,1,NaN,0.431,NaN
sub02724,4,NaN,0.519,NaN
sub02734,1,2,0.4,0.412
sub02736,1,2,0.429,0.435
sub02739,1,NaN,0.474,NaN
sub02741,1,2,0.416,0.496
sub02742,1,2,0.414,0.414
sub02743,1,NaN,0.418,NaN
sub02744,1,3,0.422,0.424
sub02746,1,2,0.403,0.41
sub02747,1,2,0.417,0.434
sub02749,2,4,0.417,0.427
sub02752,1,NaN,0.424,NaN
sub02760,3,2,0.461,0.474
sub02764,1,2,0.408,0.473
sub02768,3,2,0.404,0.42
sub02771,2,3,0.419,0.426
sub02772,2,1,0.417,0.418
sub02773,1,2,0.451,0.49
sub02774,2,NaN,0.509,NaN
sub02775,1,2,0.433,0.52
sub02776,2,1,0.407,0.411
sub02780,2,1,0.409,0.415
sub02781,2,NaN,0.438,NaN
sub02785,2,NaN,0.43,NaN
sub02787,1,2,0.438,0.447
sub02791,2,NaN,0.508,NaN
sub02792,3,1,0.43,0.459
sub02796,2,1,0.414,0.466
sub02799,1,NaN,0.525,NaN
sub02801,1,2,0.426,0.44
sub02804,1,NaN,0.5,NaN
sub02808,NaN,NaN,NaN,NaN
sub02809,2,NaN,0.411,NaN
sub02810,2,3,0.404,0.408
sub02811,1,2,0.437,0.528
sub02812,1,NaN,0.478,NaN
sub02815,3,NaN,0.455,NaN
sub02817,1,2,0.417,0.442
sub02818,2,1,0.443,0.447
sub02819,2,1,0.428,0.437
sub02820,NaN,NaN,NaN,NaN
sub02822,1,NaN,0.478,NaN
sub02823,1,2,0.407,0.411
sub02825,2,3,0.408,0.433
sub02826,2,NaN,0.43,NaN
sub02828,3,2,0.436,0.459
sub02830,1,2,0.403,0.417
sub02833,2,4,0.405,0.412
sub02835,4,2,0.404,0.408
sub02836,2,1,0.429,0.44
sub02840,3,4,0.433,0.444
sub02841,NaN,NaN,NaN,NaN
sub02846,3,2,0.446,0.461
sub02847,2,1,0.406,0.443
sub02848,1,2,0.406,0.419
sub02850,1,3,0.425,0.435
sub02851,NaN,NaN,NaN,NaN
sub02852,1,NaN,0.422,NaN
sub02853,3,NaN,0.499,NaN
sub02854,2,4,0.464,0.487
sub02855,1,4,0.45,0.468
sub02856,1,NaN,0.443,NaN
sub02859,1,NaN,0.509,NaN
sub02863,2,1,0.418,0.427
sub02864,1,NaN,0.485,NaN
sub02865,1,2,0.454,0.519
sub02866,1,2,0.431,0.432
sub02867,1,NaN,0.445,NaN
sub02868,1,NaN,0.426,NaN
sub02870,1,2,0.453,0.476
sub02872,1,2,0.431,0.452
sub02873,3,2,0.486,0.496
sub02875,1,NaN,0.44,NaN
sub02878,2,1,0.445,0.509
sub02882,3,2,0.417,0.418
sub02884,1,3,0.41,0.411
sub02887,1,NaN,0.469,NaN
sub02894,2,1,0.449,0.457
sub02895,1,2,0.41,0.419
sub02896,4,2,0.401,0.404
sub02897,2,1,0.442,0.502
sub02898,4,1,0.427,0.45
sub02899,3,2,0.397,0.4
sub02901,1,NaN,0.492,NaN
sub02903,1,NaN,0.492,NaN
sub02904,1,2,0.414,0.431
sub02908,NaN,NaN,NaN,NaN
sub02910,1,2,0.413,0.462
sub02911,1,NaN,0.441,NaN
sub02912,4,3,0.422,0.442
sub02915,1,NaN,0.444,NaN
sub02917,4,2,0.408,0.434
sub02919,1,NaN,0.423,NaN
sub02923,2,4,0.42,0.432
sub02926,2,3,0.404,0.413
sub02930,2,4,0.415,0.447
sub02931,3,NaN,0.454,NaN
sub02932,2,1,0.426,0.429
sub02933,2,3,0.455,0.455
sub02935,2,NaN,0.449,NaN
sub02936,2,NaN,0.458,NaN
sub02940,4,NaN,0.439,NaN
sub02943,1,NaN,0.456,NaN
sub02944,2,NaN,0.464,NaN
sub02950,4,3,0.455,0.459
sub02952,1,NaN,0.444,NaN
sub02954,1,3,0.43,0.462
sub02956,1,4,0.4,0.403
sub02957,NaN,NaN,NaN,NaN
sub02961,1,4,0.453,0.479
sub02962,1,2,0.42,0.42
sub02965,2,1,0.403,0.41
sub02968,2,1,0.411,0.419
sub02969,2,1,0.453,0.459
sub02970,1,2,0.467,0.476
sub02972,2,1,0.417,0.422
sub02973,1,NaN,0.453,NaN
sub02975,2,NaN,0.465,NaN
sub02976,2,NaN,0.462,NaN
sub02984,1,NaN,0.406,NaN
sub02985,1,2,0.417,0.431
sub02987,2,1,0.462,0.489
sub02989,2,4,0.425,0.493
sub02992,2,1,0.417,0.443
sub02994,2,1,0.424,0.454
sub02995,4,1,0.424,0.471
sub02997,1,4,0.401,0.445
sub03001,NaN,NaN,NaN,NaN
sub03002,2,NaN,0.512,NaN
sub03004,4,NaN,0.508,NaN
sub03006,NaN,NaN,NaN,NaN
sub03008,1,NaN,0.41,NaN
sub03012,4,NaN,0.412,NaN
sub03013,1,NaN,0.413,NaN
sub03014,NaN,NaN,NaN,NaN
sub03017,2,3,0.447,0.499
sub03018,1,2,0.427,0.435
sub03020,NaN,NaN,NaN,NaN
sub03022,1,2,0.436,0.436
sub03024,1,NaN,0.514,NaN
sub03025,2,1,0.417,0.419
sub03027,3,4,0.401,0.408
sub03028,NaN,NaN,NaN,NaN
sub03029,2,3,0.401,0.41
sub03031,1,NaN,0.488,NaN
sub03035,1,NaN,0.431,NaN
sub03040,2,1,0.427,0.464
sub03041,2,1,0.42,0.43
sub03042,2,NaN,0.464,NaN
sub03043,1,NaN,0.4,NaN
sub03044,2,NaN,0.485,NaN
sub03046,NaN,NaN,NaN,NaN
sub03048,1,NaN,0.468,NaN
sub03050,2,1,0.42,0.422
sub03051,2,NaN,0.423,NaN
sub03055,3,1,0.418,0.42
sub03056,1,NaN,0.548,NaN
sub03058,NaN,NaN,NaN,NaN
sub03059,3,4,0.456,0.469
sub03060,3,2,0.437,0.441
sub03061,1,NaN,0.415,NaN
sub03063,2,NaN,0.447,NaN
sub03070,2,1,0.422,0.431
sub03071,2,4,0.414,0.421
sub03073,3,4,0.412,0.423
sub03074,1,3,0.41,0.427
sub03075,2,4,0.425,0.44
sub03077,4,1,0.451,0.488
sub03078,NaN,NaN,NaN,NaN
sub03080,1,2,0.403,0.414
sub03082,2,1,0.402,0.415
sub03083,2,1,0.432,0.441
sub03085,1,2,0.485,0.498
sub03086,4,2,0.4,0.403
sub03089,2,1,0.414,0.42
sub03090,1,4,0.45,0.453
sub03091,2,NaN,0.441,NaN
sub03096,2,NaN,0.463,NaN
sub03097,4,1,0.491,0.524
sub03101,2,1,0.433,0.467
sub03103,2,1,0.453,0.522
sub03104,1,NaN,0.455,NaN
sub03105,2,1,0.423,0.428
sub03108,1,2,0.412,0.492
sub03109,NaN,NaN,NaN,NaN
sub03110,2,4,0.467,0.487
sub03111,1,NaN,0.503,NaN
sub03112,1,2,0.411,0.445
sub03113,4,3,0.434,0.44
sub03114,2,4,0.406,0.42
sub03116,1,NaN,0.451,NaN
sub03117,1,2,0.41,0.427
sub03118,1,2,0.442,0.477
sub03119,2,1,0.416,0.42
sub03123,2,1,0.475,0.495
sub03125,4,2,0.417,0.42
sub03131,1,3,0.413,0.444
sub03132,1,NaN,0.509,NaN
sub03133,2,1,0.424,0.434
sub03134,1,2,0.398,0.409
sub03135,3,2,0.43,0.521
sub03140,1,3,0.434,0.484
sub03142,4,3,0.409,0.411
sub03145,2,1,0.415,0.423
sub03146,1,2,0.412,0.439
sub03150,2,NaN,0.522,NaN
sub03152,1,NaN,0.448,NaN
sub03155,NaN,NaN,NaN,NaN
sub03156,3,1,0.41,0.477
sub03160,2,1,0.432,0.451
sub03161,1,2,0.464,0.47
sub03167,NaN,NaN,NaN,NaN
sub03170,2,1,0.49,0.535
sub03172,1,2,0.418,0.446
sub03173,4,2,0.444,0.472
sub03175,1,2,0.452,0.466
sub03180,1,2,0.419,0.468
sub03183,1,NaN,0.435,NaN
sub03185,2,1,0.41,0.434
sub03189,4,NaN,0.404,NaN
sub03191,2,NaN,0.522,NaN
sub03194,3,1,0.404,0.416
sub03199,2,1,0.418,0.509
sub03200,3,2,0.417,0.478
sub03201,2,1,0.43,0.447
sub03203,1,NaN,0.453,NaN
sub03205,NaN,NaN,NaN,NaN
sub03206,3,2,0.418,0.428
sub03207,2,1,0.408,0.424
sub03208,1,2,0.499,0.519
sub03211,2,1,0.414,0.439
sub03213,1,3,0.431,0.449
sub03214,1,NaN,0.505,NaN
sub03219,2,NaN,0.458,NaN
sub03223,1,2,0.457,0.474
sub03226,3,NaN,0.446,NaN
sub03227,1,2,0.498,0.522
sub03230,1,NaN,0.432,NaN
sub03231,1,NaN,0.495,NaN
sub03232,1,NaN,0.425,NaN
sub03234,2,4,0.416,0.416
sub03239,1,NaN,0.456,NaN
sub03240,1,2,0.414,0.419
sub03245,4,1,0.465,0.477
sub03250,2,4,0.423,0.431
sub03253,2,3,0.433,0.524
sub03255,1,2,0.403,0.434
sub03257,1,NaN,0.46,NaN
sub03259,1,2,0.405,0.498
sub03261,1,NaN,0.401,NaN
sub03263,1,NaN,0.54,NaN
sub03264,1,2,0.444,0.452
sub03265,2,1,0.433,0.51
sub03266,1,2,0.458,0.459
sub03267,3,NaN,0.495,NaN
sub03269,1,NaN,0.473,NaN
sub03270,1,NaN,0.466,NaN
sub03271,2,NaN,0.516,NaN
sub03272,2,1,0.407,0.411
